Date,Close,High,Low,Open,Volume
15/08/2013,15.36915207,15.5077475,15.09659348,15.32316075,490294000
16/08/2013,15.5055809,15.52440999,15.39847174,15.43828943,362306000
19/08/2013,15.67257786,15.85778113,15.55713388,15.56762819,510518400
20/08/2013,15.46669483,15.75993544,15.45897823,15.73338975,358688400
21/08/2013,15.50651264,15.65436601,15.47070572,15.54447909,335879600
22/08/2013,15.52503014,15.60621183,15.37810159,15.58738274,244207600
23/08/2013,15.46514797,15.53706843,15.41359959,15.53459898,222731600
26/08/2013,15.52535057,15.74852207,15.44910771,15.45682431,330965600
27/08/2013,15.08146954,15.5111444,15.01078379,15.37193078,424188800
28/08/2013,15.15277672,15.30402767,15.00152741,15.00152741,307608000
29/08/2013,15.17746544,15.32562871,15.15987107,15.17592245,239657600
30/08/2013,15.03918362,15.21605214,15.01695863,15.18672874,272297200
03/09/2013,15.08116722,15.45219213,15.04320075,15.22068752,331928800
04/09/2013,15.3932333,15.50281363,15.31884337,15.42008891,345032800
05/09/2013,15.28766537,15.45465942,15.23735169,15.44138575,236367600
06/09/2013,15.37873077,15.41453607,15.12345813,15.38552257,359525600
09/09/2013,15.62411976,15.6781376,15.54108678,15.58800456,340687200
10/09/2013,15.26821899,15.66362996,15.10956138,15.62504532,743195600
11/09/2013,14.43696404,14.62154917,14.34744753,14.41535558,898696400
12/09/2013,14.59068203,14.67433154,14.3844868,14.46134781,404051200
13/09/2013,14.35022354,14.56413371,14.34405158,14.48727435,298835600
16/09/2013,13.89400482,14.24866997,13.80448997,14.22984252,543706800
17/09/2013,14.05451584,14.19002366,13.81313351,13.82733199,399380800
18/09/2013,14.34343815,14.39498656,14.21935105,14.2971369,456862000
19/09/2013,14.57864285,14.68760498,14.48449737,14.52925562,404541200
20/09/2013,14.42769909,14.77155996,14.38417557,14.75458377,699302800
23/09/2013,15.14474869,15.33828676,14.8965746,15.31328406,762106800
24/09/2013,15.09720898,15.29383298,15.05769954,15.27562208,364344400
25/09/2013,14.8635416,15.11387513,14.86045562,15.10029485,316957200
26/09/2013,15.00831318,15.08054191,14.93670098,15.00152304,237221600
27/09/2013,14.90120888,14.96047388,14.83854798,14.93300173,228040400
30/09/2013,14.71600437,14.86756194,14.64377397,14.73143757,260156400
01/10/2013,15.06202221,15.09844567,14.7663122,14.76847337,353883600
02/10/2013,15.11141396,15.18055673,14.93207597,14.99010625,289184000
03/10/2013,14.92157936,15.1975339,14.83916457,15.1407367,322753200
04/10/2013,14.90984726,14.95830802,14.77310474,14.93546649,258868400
07/10/2013,15.05554485,15.20679415,14.98146319,15.01881312,312292400
08/10/2013,14.84533691,15.14474949,14.8329897,15.12314104,290917200
09/10/2013,15.01973534,15.05677534,14.76322811,14.9595439,301725200
10/10/2013,15.11388302,15.19845899,15.03362775,15.16574133,278602800
11/10/2013,15.21173763,15.24353049,14.97560237,15.03208968,267738800
14/10/2013,15.31142998,15.35896593,15.10492817,15.11974482,261898000
15/10/2013,15.39291859,15.49539881,15.2953789,15.3568034,320073600
16/10/2013,15.46792793,15.51175972,15.40989767,15.45805016,251101200
17/10/2013,15.57257175,15.58121481,15.4237919,15.43305149,253593200
18/10/2013,15.70807552,15.71949628,15.60991764,15.61856069,290542000
21/10/2013,16.09299469,16.18374426,15.78925975,15.79697635,398106800
22/10/2013,16.04700279,16.31184484,15.68153339,16.24887568,534063600
23/10/2013,16.2041111,16.22602781,16.02014093,16.02014093,313723200
24/10/2013,16.41864395,16.43593005,16.12663971,16.20535033,384764800
25/10/2013,16.23498917,16.45939371,16.20875174,16.40043697,337792000
28/10/2013,16.35598946,16.39056167,16.15010408,16.33006029,550440800
29/10/2013,15.94853592,16.64521246,15.88248077,16.55322816,635807200
30/10/2013,16.20226669,16.2831385,15.95903144,16.03897844,354163600
31/10/2013,16.13435555,16.28221058,16.09021548,16.20535122,275696400
01/11/2013,16.05194664,16.19918355,15.92261238,16.17510729,274890000
04/11/2013,16.25936699,16.26152816,16.01428054,16.08496628,244627600
05/11/2013,16.21923828,16.32542268,16.14361365,16.19238433,265213200
06/11/2013,16.17329216,16.29561983,16.08884254,16.27357515,223375600
07/11/2013,15.91156292,16.24377195,15.90814885,16.13169143,262620400
08/11/2013,16.1621151,16.17981219,15.91466581,15.97645062,279316800
11/11/2013,16.11523628,16.19658026,15.97117562,16.14442083,227452400
12/11/2013,16.14504242,16.26643825,16.0515892,16.0723903,204276800
13/11/2013,16.16428566,16.21458301,16.05033979,16.08262998,197220800
14/11/2013,16.3980732,16.43284559,16.20278338,16.23196792,282419200
15/11/2013,16.29965782,16.42695158,16.28413452,16.34902332,317920400
18/11/2013,16.10219765,16.36796591,16.08884813,16.29966136,244944000
19/11/2013,16.13075447,16.24966641,16.08169905,16.11460938,208938800
20/11/2013,15.98949146,16.15777059,15.96869037,16.12082273,193916800
21/11/2013,16.18012047,16.18229426,15.94819617,16.07021211,262026800
22/11/2013,16.13851738,16.21178962,16.09908733,16.12982387,223725600
25/11/2013,16.26084709,16.32697783,16.17577733,16.17639746,229311600
26/11/2013,16.56076622,16.64583764,16.2689208,16.27264493,401382800
27/11/2013,16.95071793,16.95195986,16.56076012,16.6511093,363448400
29/11/2013,17.2646122,17.33477878,17.00815937,17.06000872,318127600
02/12/2013,17.11434174,17.52106317,17.10161236,17.32453307,472544800
03/12/2013,17.5828495,17.58471323,17.31459914,17.33384823,450968000
04/12/2013,17.54186821,17.67195754,17.41208895,17.55739151,377809600
05/12/2013,17.63190269,17.85668712,17.58564286,17.77937902,447580000
06/12/2013,17.38724899,17.59620007,17.37327935,17.56639373,344352400
09/12/2013,17.58626366,17.68406278,17.41457051,17.41457051,320493600
10/12/2013,17.55894279,17.63128483,17.42388575,17.49777979,278269600
11/12/2013,17.42885017,17.72721854,17.37700249,17.60395903,359718800
12/12/2013,17.40339279,17.55242112,17.38755942,17.45307001,262290000
13/12/2013,17.21369553,17.47604798,17.1901005,17.47511612,332822000
16/12/2013,17.30901527,17.46860091,17.2317088,17.23201887,282592800
17/12/2013,17.23107719,17.3692382,17.18108992,17.25653593,229902400
18/12/2013,17.10005951,17.12117233,16.72842052,17.06683911,565863200
19/12/2013,16.90414619,17.07614939,16.88148138,17.06062609,320308800
20/12/2013,17.04573059,17.12614437,16.91533117,16.9342702,436413600
23/12/2013,17.69990158,17.71946075,17.47232317,17.63501112,501306400
24/12/2013,17.62476158,17.75547101,17.57384244,17.69368622,167554800
26/12/2013,17.50771332,17.68158026,17.49156822,17.63811269,204008000
27/12/2013,17.38942337,17.52354855,17.37110614,17.50523132,225884400
30/12/2013,17.21648979,17.3894249,17.14818526,17.30777086,253629600
31/12/2013,17.41829872,17.42637044,17.20034405,17.2056235,223084400
02/01/2014,17.17333412,17.29441987,17.13887179,17.25250596,234684800
03/01/2014,16.79610443,17.19102836,16.77902747,17.16494948,392467600
06/01/2014,16.88769722,16.97680284,16.56697567,16.68650942,412610800
07/01/2014,16.76693153,16.95073239,16.70111083,16.89981487,317209200
08/01/2014,16.87309837,16.93829722,16.72500193,16.72872607,258529600
09/01/2014,16.65762901,16.97866052,16.62130297,16.9767968,279148800
10/01/2014,16.54648018,16.79051369,16.48966311,16.76039729,304976000
13/01/2014,16.63311386,16.84330531,16.45148517,16.45241703,378492800
14/01/2014,16.9640789,16.97463449,16.69303286,16.71041989,332561600
15/01/2014,17.30467033,17.39284578,17.12769931,17.18544827,391638800
16/01/2014,17.20810127,17.28882507,17.12830767,17.22828222,229278000
17/01/2014,16.78647995,17.14042185,16.7625732,17.12210462,426739600
21/01/2014,17.04728889,17.07833551,16.77872668,16.79642378,328526800
22/01/2014,17.12303925,17.30249243,17.00816314,17.10441028,379985200
23/01/2014,17.26802635,17.2779618,16.91501633,17.07429018,403239200
24/01/2014,16.95413971,17.25064279,16.913156,17.20034542,429354800
27/01/2014,17.0916729,17.22517791,16.94419824,17.07832339,554878800
28/01/2014,15.72557735,15.98947998,15.58803487,15.7957439,1065523200
29/01/2014,15.54706669,15.75260211,15.48093594,15.6464195,502810000
30/01/2014,15.51694584,15.72558686,15.4213205,15.60263739,678501600
31/01/2014,15.54240322,15.57127769,15.32351837,15.37412579,464797200
03/02/2014,15.57128239,15.76377835,15.50204764,15.60481452,401464000
04/02/2014,15.79669094,15.8174937,15.60947438,15.70541149,376681200
05/02/2014,15.91466713,15.9981849,15.71782526,15.72745064,328344800
06/02/2014,16.00742149,16.03834367,15.86062373,15.93090004,257765200
07/02/2014,16.23137474,16.33288354,16.15953877,16.28447191,370280400
10/02/2014,16.52215958,16.61586027,16.17890451,16.19951819,345559200
11/02/2014,16.73985672,16.79576287,16.53808681,16.5727571,282256800
12/02/2014,16.73860168,16.85229218,16.6548976,16.77077324,308100800
13/02/2014,17.00439644,17.01751393,16.68487778,16.69924464,307398000
14/02/2014,16.99066353,17.05281986,16.90383682,16.94318932,272924400
18/02/2014,17.05311966,17.21553201,17.04124987,17.05343158,260251600
19/02/2014,16.78389549,17.08123765,16.68957095,17.01439747,313768000
20/02/2014,16.58961678,16.77233256,16.52246469,16.64708587,305858000
21/02/2014,16.40533447,16.6964296,16.38503273,16.64083374,278784800
24/02/2014,16.47717476,16.55119917,16.31694921,16.33974969,288909600
25/02/2014,16.30571175,16.54027373,16.27260441,16.5343405,231952000
26/02/2014,16.15859413,16.39752961,16.1039357,16.35411546,276217200
27/02/2014,16.48092842,16.51559704,16.11799552,16.15204029,301882000
28/02/2014,16.43626404,16.63959352,16.30758116,16.52496558,371968800
03/03/2014,16.48373795,16.57400244,16.32913201,16.3481844,238781200
04/03/2014,16.59243393,16.6361617,16.48405445,16.58493941,259140000
05/03/2014,16.62741089,16.70205749,16.52652596,16.58243544,200062800
06/03/2014,16.57712364,16.69237542,16.49435534,16.64083956,185488800
07/03/2014,16.56744957,16.61554929,16.43033469,16.58775133,220729600
10/03/2014,16.58243752,16.65770965,16.50185433,16.50247985,178584000
11/03/2014,16.74391937,16.82668773,16.63460243,16.7239312,279224400
12/03/2014,16.76015282,16.78326523,16.61616731,16.69456368,199326400
13/03/2014,16.57400513,16.85541743,16.52746671,16.78608019,257742800
14/03/2014,16.38785553,16.58150206,16.33507029,16.51591125,237199200
17/03/2014,16.45188332,16.5527666,16.42408537,16.48186807,199544800
18/03/2014,16.59742165,16.61522467,16.40377522,16.42563825,209647200
19/03/2014,16.5930481,16.74858974,16.52245987,16.62428219,224756000
20/03/2014,16.51309776,16.63709511,16.47093296,16.55026511,208398400
21/03/2014,16.64334106,16.67082709,16.43907579,16.61398183,374046400
24/03/2014,16.8407402,16.88165565,16.71174537,16.81669035,355700800
25/03/2014,17.02189255,17.04563048,16.85323164,16.91288923,282293200
26/03/2014,16.85915947,17.14713209,16.83042576,17.06967317,299768000
27/03/2014,16.7866993,16.91288342,16.71361398,16.86665694,222031600
28/03/2014,16.7679615,16.83292679,16.68644255,16.81356247,200564000
31/03/2014,16.76421738,16.89133732,16.73891649,16.84198824,168669200
01/04/2014,16.91757011,16.92444245,16.76515098,16.7960715,200760000
02/04/2014,16.94568253,16.97472984,16.87415848,16.94037314,180420800
03/04/2014,16.82824707,16.94412274,16.79232908,16.90945412,162344000
04/04/2014,16.6105442,16.8660334,16.57181557,16.86010017,275251200
07/04/2014,16.34974098,16.58180578,16.3003936,16.49185323,289850400
08/04/2014,16.34880829,16.43251403,16.20076111,16.40346673,243888400
09/04/2014,16.56369781,16.5690072,16.30446049,16.32382481,206169600
10/04/2014,16.35005188,16.6236559,16.34036889,16.57493071,239652000
11/04/2014,16.22919083,16.32976219,16.1520438,16.21013676,271717600
14/04/2014,16.29384613,16.30883684,16.15423251,16.3007168,205674000
15/04/2014,16.17765427,16.29259249,15.97057664,16.24980383,266490000
16/04/2014,16.21044731,16.2754126,16.05834009,16.18046256,214765600
17/04/2014,16.39565659,16.48373594,16.21637698,16.24136426,284334400
21/04/2014,16.59025002,16.62054503,16.36505574,16.408158,182548800
22/04/2014,16.60680389,16.61086391,16.44438979,16.50092147,202563200
23/04/2014,16.38972855,16.58899805,16.38035748,16.52434468,394940000
24/04/2014,17.73338318,17.80303399,17.51350007,17.74712619,759911600
25/04/2014,17.86363411,17.86519373,17.61439168,17.63219304,390275200
28/04/2014,18.55545044,18.60729823,17.88268181,17.89049159,669485600
29/04/2014,18.50047302,18.61447542,18.41239535,18.54451269,337377600
30/04/2014,18.43051529,18.72223607,18.42145781,18.51016103,456640800
01/05/2014,18.47393608,18.57763003,18.31402072,18.49017616,244048000
02/05/2014,18.50828362,18.55888371,18.41864464,18.5007891,191514400
05/05/2014,18.77002335,18.77127438,18.42770579,18.4320794,287067200
06/05/2014,18.56544685,18.87777967,18.56544685,18.79626072,374564400
07/05/2014,18.50047302,18.65539084,18.35679948,18.59167494,282864400
08/05/2014,18.46749496,18.66913371,18.41755662,18.47566035,230297200
09/05/2014,18.39055634,18.41285517,18.22691976,18.35914776,291597600
12/05/2014,18.61950874,18.64557659,18.44896322,18.45179125,213208800
13/05/2014,18.64872169,18.67321954,18.55261568,18.5934443,159737200
14/05/2014,18.65218163,18.76305179,18.58528346,18.60695496,166404000
15/05/2014,18.49355888,18.73791153,18.46906105,18.6782378,230846000
16/05/2014,18.76650429,18.76713162,18.3861545,18.48760124,276256400
19/05/2014,18.98887253,19.07492949,18.76085051,18.77718297,317755200
20/05/2014,18.99264145,19.04571983,18.86763786,18.98635974,234836000
21/05/2014,19.04289436,19.05514245,18.90941172,18.96500279,196859600
22/05/2014,19.07304573,19.15407901,18.97348433,19.05200325,200760000
23/05/2014,19.28849602,19.30734115,19.04791234,19.07241017,232209600
27/05/2014,19.64969635,19.65691906,19.33561733,19.34346905,348866000
28/05/2014,19.5988121,19.78160577,19.59158771,19.66194123,315481600
29/05/2014,19.95592499,20.00272335,19.71691116,19.71942385,376474000
30/05/2014,19.88117218,20.23199714,19.75239955,20.03758268,564020800
02/06/2014,19.74453735,19.93863804,19.55137934,19.91131385,369350800
03/06/2014,20.02375793,20.06144821,19.73197949,19.73857487,292709200
04/06/2014,20.25241089,20.34883394,19.97884853,20.02062151,335482000
05/06/2014,20.33186913,20.39531359,20.18299672,20.29575053,303805600
06/06/2014,20.27596474,20.4546774,20.24141783,20.41196174,349938400
